rank,segment_id,lat,lon,n_crashes,obs_ksi,obs_fatal,exp_ksi,exp_fatal,blackspot_score,future_ksi,future_fatal
1,-13_11468,51.51158377777778,-0.08950728472222222,288,47,1,46.51817768920117,1.5740094898647785,46.99542883610306,22.0,2.0
2,-14_11464,51.494183939716315,-0.09865942553191488,282,44,3,37.53226165868362,1.8284920185853226,43.92412041624684,6.0,1.0
3,-20_11314,50.82031026020408,-0.1376101581632653,196,41,0,36.594864629680195,0.97303617072523,40.94701098433936,12.0,0.0
4,-19_11468,51.5110002,-0.13326823636363636,275,40,1,44.558466363500564,1.7510613377280915,40.04513047724933,12.0,0.0
5,-18_11467,51.507143013793105,-0.12677889310344828,290,40,3,44.48700128577005,2.9835533851329648,40.044493601495226,7.0,1.0
6,-10_11469,51.515992069444444,-0.06853561111111112,288,37,3,37.0218621967914,1.8847072271758907,37.0002599815535,11.0,0.0
7,-21_11469,51.51506866666667,-0.1480752077294686,207,34,2,35.675290089558764,1.9428986745013657,34.02066496184217,10.0,1.0
8,-20_11474,51.53879515420561,-0.14147125233644858,214,34,1,31.777131070577735,1.0579595171243097,33.96926348641017,8.0,0.0
9,-12_11471,51.52559558045977,-0.0827370459770115,174,34,2,26.967617304094084,1.2534630108885467,33.885700142993564,4.0,1.0
10,-20_11469,51.51553756321839,-0.14150221455938697,261,33,1,37.77308625720517,1.5578429933446272,33.055645049299315,6.0,1.0
11,-17_11470,51.519579217687074,-0.12000777551020408,147,32,3,21.75596444137789,1.446437275012492,31.79441526659464,8.0,1.0
12,-15_11469,51.515907772727275,-0.10528067727272727,220,31,1,32.48675321327943,1.271788291150332,31.02011496142214,11.0,2.0
13,-20_11315,50.82367925,-0.1385075119047619,168,31,0,26.72280163769572,0.49351302865252866,30.92985471107369,12.0,0.0
14,-297_11906,53.478640542682925,-2.2380487012195123,164,31,3,26.63401855193803,2.2957706249914196,30.9281639322781,9.0,2.0
15,-18_11468,51.51162478894472,-0.1276589246231156,199,30,1,34.52577700576811,1.6624967395763026,30.05766117230635,6.0,0.0
16,-207_12238,54.97044088679246,-1.6155403018867924,159,30,0,29.11754862528085,1.240633711656443,29.986700257088124,7.0,0.0
17,-20_11316,50.82902950617284,-0.1373304938271605,162,30,0,27.632878003308953,0.4442903928676233,29.96243786572831,8.0,0.0
18,-399_12457,55.953251146341465,-3.197111506097561,164,30,0,27.423198951228862,1.5059960714354101,29.958802977954477,8.0,1.0
19,-15_11480,51.56469775392671,-0.10488847120418848,191,29,0,26.494945989508423,0.9629721784274471,28.958570097405367,8.0,0.0
20,-396_11890,53.40614241463415,-2.9797299593495934,123,28,2,31.550754228715636,1.729484652341721,28.04944509510741,12.0,0.0
21,-17_11472,51.53028422916666,-0.11954734895833334,192,28,1,26.715947109867045,1.4832219481491697,27.978936447729726,4.0,0.0
22,-15_11468,51.51161296732026,-0.10412469934640523,153,28,0,23.420802874092278,0.7126804205314043,27.914511898126896,6.0,0.0
23,-17_11468,51.511354190954776,-0.11885489949748744,199,27,1,27.854326745410418,1.1942582259147179,27.013450606534832,13.0,0.0
24,-402_11982,53.81999488990826,-3.053717577981651,109,27,0,22.92689861501586,1.2376427229954257,26.922353229568035,10.0,0.0
25,-12_11469,51.516271734299515,-0.08216156038647342,207,26,1,30.343437802861352,0.913481116794484,26.062855113242527,10.0,1.0
26,-12_11468,51.51154120588235,-0.08336072941176471,170,26,1,27.17635541693272,0.9752842028053653,26.01897524231957,11.0,0.0
27,-21_11315,50.82368602,-0.14500302666666667,150,26,0,25.909343040122973,0.4070124354395834,25.99846735244649,9.0,0.0
28,-24_11449,51.42669676571428,-0.16894596571428572,175,26,2,24.556835614039876,1.9252160014968818,25.974282026087984,8.0,2.0
29,-16_11461,51.4807889375,-0.11191835267857143,224,25,2,27.4121012901198,1.3519546442424852,25.038579220803587,7.0,0.0
30,-532_12437,55.86353621739131,-4.255061753623188,138,25,1,27.118893170600735,1.760821507574686,25.034250131643947,5.0,0.0
31,-20_11467,51.50711775138121,-0.14100655248618785,181,25,0,25.572948968615535,1.010020036689724,25.00981151575738,5.0,0.0
32,-16_11457,51.46265775824176,-0.11333567582417582,182,25,0,24.289835161646863,0.8232141912018247,24.987207869393586,5.0,1.0
33,-18_11462,51.48501486857143,-0.12472948,175,25,1,23.879086500646952,0.9330160924530065,24.979468147530046,5.0,1.0
34,-18_11466,51.50158506289308,-0.12554311949685534,159,25,0,22.525526770009,0.5559540436601392,24.952004138154575,10.0,1.0
35,-11_11483,51.57880044444444,-0.07429433333333334,117,25,0,15.046974602601443,0.4121544522674675,24.71375675338327,3.0,0.0
36,-24_11470,51.52009386574074,-0.1700607824074074,216,24,1,24.716326788243183,0.7657936753456848,24.012684418416413,8.0,0.0
37,-397_11890,53.407331330434786,-2.9876209826086955,115,24,2,24.073122131345457,1.290316789740752,24.001328783696362,5.0,0.0
38,-16_11477,51.551323026737975,-0.11064668983957218,187,24,0,22.35871812711636,0.7493648515160266,23.967932181163082,4.0,0.0
39,-14_11481,51.57008590123457,-0.0965130987654321,162,24,0,20.128298375078312,0.5280143949173184,23.91615276989723,2.0,1.0
40,-21_11466,51.50242354054054,-0.1501865135135135,148,24,1,18.24890882732657,1.1640665518723197,23.862930851099318,6.0,0.0
41,-16_11471,51.52526234146341,-0.1109911138211382,123,24,0,15.808753102166285,0.3414006495243478,23.77546502351155,4.0,1.0
42,-398_12456,55.94898081818182,-3.1882218409090908,176,23,0,32.00873194418957,1.5023078086945174,23.123678463793144,6.0,0.0
43,-11_11472,51.52884271098265,-0.07676016184971098,173,23,0,24.816849828462498,0.8840039698489283,23.032044007629448,1.0,0.0
44,-18_11472,51.52925750666667,-0.12588829999999998,150,23,1,19.76499157325701,0.8238438141228047,22.928681888101266,3.0,0.0
45,-22_11315,50.82443554022989,-0.15335054022988506,87,23,0,18.068823472290067,0.556662654691387,22.881329194704854,7.0,0.0
46,-203_11977,53.79744881355933,-1.5400672485875706,177,22,2,29.099588060617783,1.6658041003699233,22.107065497860198,9.0,0.0
47,-18_11469,51.51605509,-0.12635332,200,22,0,28.14636692376621,0.9301681594738553,22.095780614915512,8.0,0.0
48,-16_11487,51.597004535135135,-0.11051404324324325,185,22,0,23.29261725434809,1.1598204935626335,22.024261919370815,5.0,0.0
49,-22_11469,51.515344566265064,-0.1550122048192771,166,22,1,22.355947952616035,1.3529392711970458,22.00695545439383,4.0,0.0
50,-231_11976,53.79293877272727,-1.7535477181818182,110,22,0,17.13015613074647,0.6655867248824774,21.87654615885724,6.0,1.0
51,-20_11475,51.542329828358206,-0.14021500746268656,134,22,2,16.523815151179605,0.9861013334110208,21.856214579854235,4.0,1.0
52,-198_11334,50.90961516666667,-1.4066606666666668,84,22,0,15.77833734718605,0.21191994731382605,21.829134698815494,7.0,0.0
53,-16_11466,51.50285884536082,-0.11164582474226803,97,22,1,15.177788798493278,0.640597039743018,21.80543996210259,3.0,0.0
54,-8_11470,51.52022111764706,-0.05532940106951872,187,21,0,21.569968922973295,0.5611430039127817,21.01153518683503,5.0,0.0
55,-11_11468,51.51097465925926,-0.07563488888888889,135,21,1,20.673063079904484,1.150629281974758,20.99310235321333,6.0,0.0
56,-23_11470,51.52077309677419,-0.1625001129032258,186,21,1,20.602766016560565,1.1556967659618216,20.99159125045647,11.0,0.0
57,-25_11464,51.49435011111111,-0.17644277777777778,153,21,0,19.337463297657898,0.6228184972621145,20.96255609214795,3.0,0.0
58,-15_11476,51.546888307692306,-0.10451848951048952,143,21,0,18.873162250283745,0.6876834917653974,20.950947793019694,5.0,0.0
59,-10_11460,51.47445043589744,-0.06867466025641027,156,21,1,18.8104592128798,0.8849315453212735,20.94933720798082,3.0,1.0
60,-18_11471,51.5247907398374,-0.126261081300813,123,21,1,17.811898398767042,1.1341353687793125,20.922197342885987,9.0,0.0
61,-13_11467,51.50583861818182,-0.08887717272727272,110,21,1,17.485377291101578,0.641660653942636,20.91266701260902,1.0,0.0
62,-16_11462,51.484107798449614,-0.11075801550387597,129,21,0,17.039587768540738,0.7216195414909022,20.899080826350446,1.0,0.0
63,-197_11333,50.905910754385964,-1.4001371754385965,57,21,0,12.874230917518268,0.20764695165654062,20.728187329360335,4.0,0.0
64,-19_11469,51.51595922352941,-0.1328373176470588,170,20,1,25.63769297651657,1.1386795938478003,20.096303536535135,7.0,0.0
65,-24_11457,51.46210775796178,-0.16847745222929936,157,20,1,22.154870941334426,1.083650511917634,20.042482212077154,2.0,0.0
66,-155_11789,52.95372889516129,-1.152182935483871,124,20,0,22.11821738690688,0.9323176462444941,20.041827441507788,6.0,0.0
67,-5_11471,51.524996931677016,-0.033810006211180126,161,20,2,20.774967304729863,1.1895805932644885,20.016271582479284,4.0,0.0
68,-32_11464,51.49313849019608,-0.2258486797385621,153,20,0,19.541788679528736,0.6785389260165486,19.98978559170834,7.0,0.0
69,-154_11789,52.95448453913043,-1.1444633913043478,115,20,0,19.284285981184524,0.45040221894401816,19.983837132311447,7.0,0.0
70,-361_11455,51.453153245454544,-2.598277972727273,110,20,0,18.378892763247567,1.244627519014125,19.961629984248507,3.0,0.0
71,-19_11471,51.52539545714286,-0.13335227142857142,140,20,0,17.764542038508303,0.4049179018143959,19.945303854308058,3.0,0.0
72,-16_11479,51.560846852112675,-0.11263002816901409,142,20,0,16.580892521843403,0.48670096652813266,19.910527168131082,3.0,0.0
73,-20_11457,51.46167938679245,-0.1394875,106,20,2,16.568286696062984,1.2506638775509407,19.910130756633567,3.0,1.0
74,-258_11683,52.47627825806452,-1.899268752688172,93,20,1,15.530263363650263,0.8911541253885329,19.875341673333818,6.0,0.0
