feature,gain,share_%
Local_Authority_(District),140007.02051520348,4.942163332789915
Longitude,137092.69605314732,4.839289438015026
k_age_max,131007.63865458965,4.624490584054642
Speed_limit,130967.93995320797,4.623089243853229
Latitude,114685.81929659843,4.048340210604438
c_did_police_officer_attend_scene_of_accident,114648.09526062012,4.047008574900094
k_casualty_type_9,111588.0029155016,3.9389891618210653
Hour,98574.08166122437,3.4796055951825617
v_engine_capacity_cc_max,87979.50684714317,3.10562349785648
v_engine_capacity_cc_min,81690.1257481575,2.883612140576196
Month,76443.77780556679,2.698419224267302
Number_of_Casualties,66145.23579990864,2.3348869064287587
v_first_point_of_impact_2,65253.95905303955,2.303425375131717
c_first_road_number,59326.82573604584,2.0942011459465606
v_engine_capacity_cc_mean,57520.64790332317,2.0304441584431334
k_age_min,56939.665534734726,2.009935831443035
Police_Force,55549.38785791397,1.9608598684556382
v_age_of_driver_max,55219.875669837,1.949228287070442
k_age_mean,54289.51974439621,1.9163872843533107
v_age_of_driver_min,53989.06058347225,1.9057812572937034
k_casualty_type_5,53593.65422916412,1.8918236516063403
v_age_of_driver_mean,47682.71048784256,1.6831709046723307
k_casualty_class_3,43892.41777563095,1.5493758592960247
Number_of_Vehicles,40786.11967396736,1.4397254108951916
v_age_of_vehicle_max,34126.999469041824,1.20466248630528
v_age_of_vehicle_min,33456.04122066498,1.1809780650472694
v_age_of_vehicle_mean,29709.98973584175,1.0487447082990902
v_vehicle_leaving_carriageway_1,28060.850051164627,0.9905310726523339
v_first_point_of_impact_1,26280.619315624237,0.9276900020208941
Day_of_Week,24604.01345872879,0.8685068270701087
v_vehicle_type_9,23889.886295318604,0.8432985691629858
v_hit_object_off_carriageway_4,23568.472121477127,0.8319528427933156
v_vehicle_leaving_carriageway_7,22182.7581615448,0.7830379762579692
v_vehicle_type_21,21387.09896850586,0.7549516869078774
v_vehicle_manoeuvre_19,20087.239659786224,0.7090674377487987
v_hit_object_off_carriageway_0,19325.640823841095,0.6821834584493838
v_vehicle_manoeuvre_4,18499.88784623146,0.6530348766649349
v_junction_location_0,18198.796198368073,0.6424065231980589
