feature,gain,share_%
speed_limit,1237811.9384557009,4.437557077159441
k_age_max,1193270.4119485617,4.277875658651039
v_engine_capacity_cc_max,957823.70923841,3.43379898638304
v_engine_capacity_cc_min,888855.2344765663,3.186546933165536
longitude,831149.4978911877,2.9796718079372053
latitude,799425.1431798935,2.865939963548101
v_engine_capacity_cc_mean,780679.1700011492,2.798735630350796
DayOfYear,775933.9186375141,2.781723899313632
Hour,748762.8711996078,2.6843156662000114
local_authority_district,730993.6835480928,2.6206131101261616
k_age_mean,721329.4281433821,2.5859667445238435
k_age_min,651543.5763325691,2.335784393742004
v_age_of_driver_max,649272.7978081703,2.327643650387905
v_age_of_driver_mean,634960.8887145519,2.2763354415130705
k_casualty_type_9,613411.2964890003,2.1990801311387806
k_n_casualties,609240.369349122,2.1841273530366605
v_age_of_driver_min,598094.4045674801,2.144169057788472
first_road_number,578160.0696498156,2.072704446530391
urban_or_rural_area,496552.1267297268,1.780139886917829
k_sex_of_casualty_1,490998.2019357681,1.7602290607981594
v_first_point_of_impact_2,489400.68456697464,1.7545019593819144
v_age_of_vehicle_mean,444223.16294550896,1.5925404977321138
number_of_vehicles,423690.1711431742,1.5189297009244949
police_force,405769.44915521145,1.454683894098051
v_age_of_vehicle_min,380894.5981346369,1.3655075275109327
v_age_of_vehicle_max,379258.8832820654,1.359643488075912
k_casualty_type_5,369987.30414128304,1.3264048672851376
k_casualty_class_3,361736.76944863796,1.2968266918949614
light_conditions,322887.8938590288,1.1575534328024404
v_vehicle_type_21,293187.59595525265,1.0510778341577254
v_vehicle_manoeuvre_19,272536.69423544407,0.9770443301742444
second_road_number,254130.9955124855,0.9110598812521982
v_first_point_of_impact_1,246648.77342033386,0.8842361073279216
day_of_week,240678.462094903,0.8628325350630874
v_n_vehicles,228415.1907429695,0.8188686946070063
first_road_class,220408.8699400425,0.7901660262635718
v_vehicle_leaving_carriageway_0,211591.44131171703,0.7585555355287759
v_hit_object_off_carriageway_4,207995.5129930973,0.74566412879444
second_road_class,205473.45776355267,0.7366225581929998
v_vehicle_leaving_carriageway_1,204884.2229371071,0.734510150731924
v_vehicle_manoeuvre_4,198415.16077280045,0.711318556194859
junction_detail_historic,195522.67442190647,0.7009489896409845
v_vehicle_type_5,189774.8648004532,0.680343086214599
v_hit_object_off_carriageway_0,177516.27978408337,0.6363960462763514
road_type,177196.43946897984,0.6352494184165334
Month,176943.42306494713,0.6343423543468868
k_any_elderly,165590.28067541122,0.5936413271605289
junction_control,164050.64622545242,0.5881217360680588
v_vehicle_leaving_carriageway_7,159385.52930521965,0.5713972870932148
v_vehicle_type_9,155550.73391199112,0.5576495416498235
number_of_casualties,150099.38819110394,0.5381064616130078
k_casualty_type_0,146007.9917962551,0.5234388013139181
v_vehicle_type_1,132353.8611075878,0.4744887286998592
