feature,gain,share_pct
latitude,51473.366849303246,14.362611001848762
longitude,43028.198326043785,12.006156047197296
DayOfYear,37932.6591219306,10.584347995518657
number_of_vehicles,28742.421788021922,8.01999652754421
Hour,25359.032562851906,7.075929599666124
police_force,24895.364647075534,6.946552364098248
first_road_number,24554.058150425553,6.851317629247135
speed_limit,14266.150322213769,3.980683217628483
day_of_week,13603.761534303427,3.7958569069541674
road_type,11675.692069083452,3.2578677795949593
junction_detail,10977.39488697052,3.0630219514652812
pedestrian_crossing,10487.30869820714,2.9262732264946645
Month,8789.331033736467,2.4524866028992416
urban_or_rural_area,8235.942313730717,2.298074575772223
weather_conditions,7141.196468219161,1.9926076967354316
second_road_class,6734.68980500102,1.879180162636975
junction_control,6691.10474473238,1.8670186254295233
first_road_class,5289.768118157983,1.4760037359419997
road_surface_conditions,5195.6586332172155,1.449744371021384
light_conditions,5089.413569621742,1.4200988161899706
special_conditions_at_site,3095.195923909545,0.8636523653051545
carriageway_hazards,2623.580656528473,0.7320575806127496
trunk_road_flag,2503.176519408822,0.6984612201973592
local_authority_district,0.0,0.0
