category,level,n,mean_shap,std_shap,mean_abs_shap,label,low_sample
police_force,14,852,0.17426738146110596,0.04781778205614517,0.17426738146110593,14,False
police_force,21,266,0.11742603373999756,0.03605108836656854,0.11746048708092531,21,False
police_force,11,237,0.10821916247196528,0.10062571689640425,0.1256214790798221,11,False
police_force,48,68,0.10658943006714021,0.038207866936575886,0.10658943006714021,48,True
police_force,99,1640,0.09251184149412547,0.04510892375402058,0.09282880166461337,99,False
police_force,13,1722,0.08597350320960527,0.03080176632444871,0.08603340242890743,13,False
police_force,61,221,0.08092511507637114,0.07160874922464402,0.09507139382775563,61,False
police_force,42,1225,0.07848646809493487,0.03183537129606343,0.07870541766201881,42,False
police_force,53,402,0.06940896599129039,0.057098140032671836,0.07515855979353342,53,False
police_force,47,1474,0.059135381707637096,0.04027319783504044,0.06068573633922751,47,False
police_force,36,556,0.054638461220009184,0.02181583133734474,0.0547579625455252,36,False
police_force,37,433,0.05135549216762005,0.019263928774617627,0.051499603487790986,37,False
police_force,31,807,0.04568486629048267,0.029302798635642766,0.04751002262837774,31,False
police_force,63,410,0.04367977288143161,0.058408158678240535,0.06053314595618241,63,False
police_force,35,588,0.04216816199389296,0.02446466539603471,0.04328254116786396,35,False
police_force,41,704,0.03955322556247104,0.021597223753472224,0.04046582438628141,41,False
police_force,60,295,0.039527862174369655,0.04065114150744164,0.04650531798149649,60,False
police_force,40,548,0.03799438607095591,0.020394299285790004,0.0389443585455457,40,False
police_force,22,613,0.0357134327280116,0.028486019479531933,0.03873345253100225,22,False
police_force,4,1088,0.029442175160028863,0.034904704534656494,0.03684565772156616,4,False
police_force,45,1071,0.025377723661127137,0.028494932546041,0.029636397233227477,45,False
police_force,20,1978,0.019255900132318,0.02391022481510136,0.023985755227065482,20,False
police_force,44,1369,0.01680849854968511,0.02386152245551161,0.02299247949494525,44,False
police_force,33,476,0.01636082300166579,0.018816653134520103,0.020243259390299174,33,False
police_force,34,511,0.012918467234809498,0.02263666895205493,0.02070354494519295,34,False
police_force,16,786,0.011480498752347678,0.030302973313781918,0.024755796398321643,16,False
police_force,43,1286,0.00917915306539287,0.03235903613914219,0.02694529522574813,43,False
police_force,17,226,0.005179090362248394,0.028752275837924925,0.023263081246248405,17,False
police_force,30,774,0.002717825900090685,0.030187362237927416,0.023451500464688125,30,False
police_force,23,354,0.0006995127424920329,0.03063227234129874,0.023257734926203824,23,False
police_force,3,331,-0.00040456265090615,0.04419034904634242,0.03472403568434328,3,False
police_force,6,1052,-0.0012969178861072708,0.04882273928604434,0.039616748353811286,6,False
police_force,46,1497,-0.009273197140153391,0.03408694923126375,0.028138662535522243,46,False
police_force,50,1141,-0.03487818477473635,0.03279883876913401,0.04022240062332633,50,False
police_force,1,9178,-0.038760342367416815,0.05101746570302288,0.05184711102102957,1,False
police_force,32,651,-0.07847332978622991,0.03432079783992641,0.07869521145047313,32,False
police_force,5,843,-0.1195888235030121,0.04283708378074739,0.1195888235030121,5,False
police_force,52,914,-0.1759263186712997,0.06010494546192591,0.17672011177396874,52,False
police_force,10,760,-0.177096414580058,0.03995127810629921,0.17709641458005804,10,False
police_force,7,653,-0.22023621032850324,0.04186175261909371,0.22023621032850327,7,False
police_force,54,503,-0.2533366728914936,0.0735243905425915,0.2533366728914936,54,False
police_force,62,379,-0.2584612624921337,0.055093936306752245,0.2584612624921337,62,False
police_force,55,588,-0.28648549358114933,0.06805015689685806,0.28648549358114933,55,False
police_force,12,583,-0.3297917876663785,0.05986399711249938,0.3297917876663785,12,False
