category,levels,spread,range,mean_abs_shap
speed_limit,6,0.10684088122314157,0.2634009260698364,0.13318549397120302
police_force,44,0.09350681541101896,0.5040591691274845,0.08649308562258695
urban_or_rural_area,2,0.04613056677496062,0.09870850779454311,0.04937108352853605
light_conditions,5,0.04395956016982663,0.15448552207671015,0.07323229634528243
weather_conditions,8,0.038615575127504395,0.22295693815603093,0.05108263482070347
road_type,6,0.0323137300112629,0.12074950695288902,0.05112240220657216
junction_control,6,0.031126431887049725,0.2359873588811644,0.04622210027972929
day_of_week,7,0.028144946609804263,0.07752727127342594,0.02811839868394096
road_surface_conditions,7,0.021424396277397544,0.18908509565415826,0.06564316009969602
junction_detail,7,0.01041493186521804,0.04589897530040064,0.016429228179440307
first_road_class,6,0.007169126205240581,0.030642151760545515,0.013677835803493075
