category,level,n,mean_shap,std_shap,mean_abs_shap,label,low_sample
light_conditions,6.0,2249,0.12408758406251023,0.03877707759939663,0.12408758406251023,Dark-no lighting,False
light_conditions,5.0,289,0.08307181864415951,0.042825408801948586,0.08320380075000496,Dark-unlit,False
light_conditions,4.0,8808,0.050827073563350096,0.03466754056562797,0.05096261004595652,Dark-lit,False
light_conditions,1.0,30021,-0.026682117435492373,0.013919496537592146,0.02669776031424248,Daylight,False
light_conditions,7.0,686,-0.030397938014199922,0.10024196571056672,0.08120972655369797,Dark-unknown,False
weather_conditions,1.0,33872,0.011165145137723688,0.006219443152108641,0.011495938823409902,Fine,False
weather_conditions,4.0,374,0.0035912016662994254,0.022640703021339484,0.017591838367383844,Fine+wind,False
weather_conditions,2.0,4522,-0.00011564317669472349,0.01932994872722284,0.013477934215915175,Rain,False
weather_conditions,3.0,141,-0.008093400854168781,0.02115663369698855,0.015031190952686213,Snow,True
weather_conditions,5.0,434,-0.03725971554313494,0.03777501030771356,0.041892125623700156,Rain+wind,False
weather_conditions,8.0,1272,-0.03823268350268049,0.03720631119664563,0.04224723652699238,Other,False
weather_conditions,7.0,182,-0.04966643338531821,0.04678117853059688,0.054369748627315986,Fog/mist,True
weather_conditions,9.0,1239,-0.21179179301830725,0.08619240090561726,0.2125550654282241,Unknown,False
road_surface_conditions,1.0,30295,0.005991783768365619,0.008056933754675406,0.0066316447325957435,Dry,False
road_surface_conditions,2.0,10040,-0.0019509310754272965,0.016802912260588502,0.009818040838571906,Wet,False
road_surface_conditions,3.0,93,-0.015048144655026442,0.0311900514452123,0.025576309430879997,Snow,True
road_surface_conditions,9.0,554,-0.04364440420263796,0.04664306360629884,0.05571300698150218,9,False
road_surface_conditions,4.0,617,-0.0773253816709649,0.06802558773974467,0.08540285434341259,Frost/ice,False
road_surface_conditions,5.0,69,-0.08582983515068726,0.07309994760591643,0.09320550846762933,Flood,True
road_surface_conditions,-1.0,385,-0.18309331188579264,0.0908418290344752,0.18315475590328037,-1,False
road_type,6.0,30497,0.015492658634450845,0.007236458189691682,0.015546462735548702,Single carriageway,False
road_type,7.0,714,0.00411243213590817,0.013106591986283073,0.01077647305084217,Slip road,False
road_type,3.0,6272,-0.01580730571847592,0.01844041738770431,0.018853788731278714,Dual carriageway,False
road_type,2.0,921,-0.07076639574619618,0.03466772913670114,0.07094072857641515,One way,False
road_type,1.0,2479,-0.08389082672001971,0.0369495089095695,0.0839978847724694,Roundabout,False
road_type,9.0,1170,-0.10525684831843818,0.05422924737274416,0.1066190753728788,Unknown,False
urban_or_rural_area,2.0,13550,0.06805946693160533,0.030997119294850134,0.06808662284536272,Rural,False
